Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,556.9892578125,174.462007747591,548.6176,65.53275,8,128,False
2,415.452911376953,NaN,407.0558,48.47606,8,128,False
3,405.736328125,NaN,401.357,91.64816,8,155.5,False
4,562.034545898438,NaN,552.7719,59.67755,7,192.5,False
5,594.323059082031,NaN,585.3062,64.91187,7,192.5,False
6,3079.13549804688,NaN,3041.393,80.5834,8,281,False
7,3069.29174804688,NaN,3033.609,85.01541,8,281,False
8,562.520751953125,NaN,553.272,59.82111,7,192.5,False
9,665.338317871094,NaN,656,70.24823,7,199.5,True
10,665.311828613281,NaN,656,70.44806,7,199.5,True
11,665.35009765625,NaN,656,70.15991,7,199.5,True
12,665.263305664063,NaN,656,70.8172,7,199.5,True
13,665.27392578125,97.5347545791417,656,70.73596,7,199.5,True
14,665.335632324219,NaN,656,70.26831,7,199.5,True
15,665.382568359375,183.273387601972,656,69.91699,7,199.5,True
16,665.354064941406,NaN,656,70.13013,7,199.5,True
17,665.351135253906,NaN,656,70.15173,7,199.5,True
18,665.271484375,NaN,656,70.75476,7,199.5,True
19,665.342590332031,NaN,656,70.21619,7,199.5,True
20,665.289184570313,NaN,656,70.61963,7,199.5,True
21,665.358581542969,165.876492403448,656,70.09607,7,199.5,True
22,665.372192382813,NaN,656,69.99414,7,199.5,True
23,665.36767578125,NaN,656,70.02783,7,199.5,True
24,665.321350097656,153.521613684297,656,70.37598,7,199.5,True
25,665.368225097656,126.572676251829,656,70.02393,7,199.5,True
26,665.343139648438,NaN,656,70.21204,7,199.5,True
27,665.319763183594,NaN,656,70.38806,7,199.5,True
28,665.270263671875,NaN,656,70.76392,7,199.5,True
29,665.317626953125,NaN,656,70.40405,7,199.5,True
30,665.278137207031,110.324614160368,656,70.70386,7,199.5,True
