Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;443.860076904297;211.703028315306;437.5576;69.42673;5;160.5;False
2;479.732238769531;NaN;473.5527;76.63216;5;160.5;False
3;483.20947265625;NaN;474.3125;53.31165;8;168.5;False
4;483.2314453125;102.841474452242;474.5992;54.97993;8;168.5;False
5;483.25830078125;103.37885928303;474.3118;53.0162;8;168.5;False
6;450.939025878906;NaN;442.1904;50.54413;8;168.5;False
7;519.888793945313;NaN;511.5455;61.31183;8;160.5;False
8;1987.18200683594;NaN;1953.64;58.24408;8;280.5;False
9;519.974365234375;NaN;511.5376;60.63208;8;160.5;False
10;519.799133300781;NaN;511.4959;61.60168;8;160.5;False
11;447.776428222656;105.880684641469;439.4193;52.58008;8;160.5;False
12;2308.65893554688;NaN;2274.523;66.63184;8;281;False
13;4484.54296875;324.685168400779;4398.595;51.17755;8;281;False
14;3801.02294921875;NaN;3755.786;83.02435;8;281;False
15;380.669891357422;NaN;372.1432;43.64429;8;156;False
16;448.306365966797;NaN;440.2148;54.40417;8;156;False
17;486.410949707031;NaN;478.2491;58.59595;8;164;False
18;521.703674316406;NaN;513.0933;59.59033;8;156;False
19;449.182891845703;NaN;440.6799;51.82629;8;164;False
20;450.362426757813;NaN;441.6148;50.48389;8;164;False
21;446.485321044922;NaN;437.9182;51.11597;8;164;False
22;485.900054931641;NaN;476.5458;50.94434;8;156;False
23;450.500885009766;NaN;441.8937;51.33997;8;164;False
24;447.895782470703;NaN;438.9856;49.26794;8;164;False
25;2183.716796875;NaN;2164.233;111.0769;8;281;False
26;2177.53564453125;NaN;2158.776;115.0768;8;281;False
27;450.066650390625;66.2135688377544;441.4148;51.0199;8;164;False
28;449.993194580078;NaN;441.5972;52.59595;8;164;False
29;449.809448242188;NaN;441.1173;50.74878;8;164;False
30;446.55224609375;75.5340564938262;437.9548;50.93994;8;164;False
